edad,abandono,viajes,departamento,distancia_casa,educacion,carrera,empleados,satisfaccion_entorno,implicacion,nivel_laboral,puesto,satisfaccion_trabajo,estado_civil,salario_mes,num_empresas_anteriores,mayor_edad,horas_extra,incremento_salario_porc,evaluacion,satisfaccion_companeros,horas_quincena,nivel_acciones,anos_experiencia,num_formaciones_ult_ano,anos_compania,anos_desde_ult_promocion,anos_con_manager_actual
27,No,Travel_Rarely,Financial,4,Master,Ingeniería Administrativa,1,Media,Muy_Alta,2,Accountant,Muy_Alta,Married,6142,1,Y,Yes,20,Muy_Alta,Media,80,1,6,0,6,0,3
34,No,Travel_Rarely,Financial,1,Universitaria,Ingeniería Administrativa,1,Media,Alta,2,Financial Analyst,Alta,Married,5484,9,Y,No,17,Alta,Media,80,1,9,3,2,2,1
45,No,Travel_Rarely,Financial,6,Universitaria,Other,1,Muy_Alta,Alta,3,Financial Director,Alta,Married,13245,4,Y,Yes,14,Alta,Media,80,0,17,3,0,0,0
39,Yes,Travel_Rarely,Financial,23,Universitaria,Finanzas,1,Alta,Alta,1,Financial Analyst,Alta,Single,3904,0,Y,No,13,Alta,Baja,80,0,6,2,5,0,3
28,Yes,Travel_Frequently,Financial,1,Universitaria,Finanzas,1,Baja,Media,1,Treasurer,Media,Divorced,2596,1,Y,No,15,Alta,Baja,80,2,1,2,1,0,0
28,Yes,Travel_Rarely,Financial,5,Universitaria,Contaduría,1,Alta,Alta,1,Treasurer,Alta,Single,3441,1,Y,Yes,13,Alta,Alta,80,0,2,3,2,2,2
58,Yes,Travel_Rarely,Financial,7,Universitaria,Finanzas,1,Alta,Media,3,Accountant,Media,Married,10008,7,Y,Yes,14,Alta,Muy_Alta,80,0,31,0,10,5,9
34,No,Non-Travel,Financial,26,Universitaria,Contaduría,1,Baja,Media,1,Financial Analyst,Media,Divorced,2029,1,Y,No,20,Muy_Alta,Alta,80,3,5,2,5,0,0
37,No,Travel_Frequently,Financial,11,Universitaria,Other,1,Media,Alta,3,Financial Director,Alta,Divorced,12185,1,Y,Yes,14,Alta,Alta,80,3,10,1,10,0,7
42,No,Travel_Rarely,Financial,2,Universitaria,Ingeniería Administrativa,1,Baja,Alta,5,CFO,Alta,Married,18880,5,Y,No,11,Alta,Baja,80,0,24,2,22,4,14
48,No,Travel_Rarely,Financial,20,Universitaria,Finanzas,1,Muy_Alta,Alta,1,Financial Analyst,Alta,Married,2259,4,Y,No,17,Alta,Baja,80,2,13,2,0,0,0
34,No,Travel_Rarely,Financial,1,Master,Ingeniería Administrativa,1,Media,Muy_Alta,1,Financial Analyst,Muy_Alta,Single,3280,2,Y,No,16,Alta,Alta,80,0,10,2,4,1,3
23,No,Travel_Rarely,Financial,26,Universitaria,Ingeniería Administrativa,1,Alta,Alta,1,Financial Analyst,Alta,Divorced,2904,1,Y,No,12,Alta,Alta,80,2,4,2,4,0,2
30,No,Travel_Rarely,Financial,8,Master,Ingeniería Administrativa,1,Media,Muy_Alta,3,Financial Director,Muy_Alta,Married,11416,0,Y,Yes,12,Alta,Alta,80,3,9,4,8,1,7
31,No,Travel_Rarely,Financial,9,Universitaria,Ingeniería Administrativa,1,Alta,Alta,3,Accountant,Alta,Divorced,10648,1,Y,No,25,Muy_Alta,Muy_Alta,80,1,13,6,13,0,8
50,No,Travel_Rarely,Financial,2,Universitaria,Finanzas,1,Alta,Alta,4,Financial Director,Alta,Married,17639,5,Y,No,16,Alta,Muy_Alta,80,0,30,3,4,0,3
36,No,Travel_Rarely,Financial,7,Universitaria,Ingeniería Administrativa,1,Baja,Alta,1,Treasurer,Alta,Single,2013,2,Y,No,11,Alta,Alta,80,0,15,4,4,1,3
35,No,Travel_Frequently,Financial,2,Universitaria,Finanzas,1,Media,Alta,2,Treasurer,Alta,Single,4425,5,Y,No,11,Alta,Muy_Alta,80,0,10,5,6,1,2
34,No,Travel_Rarely,Financial,2,Universitaria,Ingeniería Administrativa,1,Muy_Alta,Media,1,Financial Analyst,Media,Divorced,2768,3,Y,No,12,Alta,Alta,80,1,14,3,7,5,7
50,No,Travel_Frequently,Financial,1,Universitaria,Ingeniería Administrativa,1,Baja,Alta,5,Financial Director,Alta,Married,18172,3,Y,Yes,19,Alta,Baja,80,0,28,1,8,0,7
55,No,Travel_Rarely,Financial,2,Universitaria,Ingeniería Administrativa,1,Alta,Alta,4,CFO,Alta,Single,16659,2,Y,Yes,13,Alta,Alta,80,0,30,2,5,1,2
54,No,Travel_Frequently,Financial,20,Universitaria,Ingeniería Administrativa,1,Muy_Alta,Alta,2,Financial Analyst,Alta,Single,4869,3,Y,No,12,Alta,Muy_Alta,80,0,20,4,4,0,3
27,No,Travel_Rarely,Financial,14,Universitaria,Ingeniería Administrativa,1,Baja,Alta,1,Financial Analyst,Alta,Married,2235,1,Y,Yes,14,Alta,Muy_Alta,80,2,9,3,9,6,8
37,No,Travel_Rarely,Financial,1,Universitaria,Finanzas,1,Alta,Media,1,Financial Analyst,Media,Married,3920,2,Y,No,14,Alta,Baja,80,1,17,2,3,0,2
28,No,Travel_Rarely,Financial,9,Universitaria,Finanzas,1,Alta,Alta,1,Financial Analyst,Alta,Divorced,2377,5,Y,No,18,Alta,Media,80,1,6,2,2,2,2
52,No,Travel_Rarely,Financial,7,Universitaria,Ingeniería Administrativa,1,Media,Alta,3,Coordinator,Desconocido,Single,10445,7,Y,No,19,Alta,Muy_Alta,80,0,18,4,8,4,0
43,No,Travel_Rarely,Financial,15,Universitaria,Ingeniería Administrativa,1,Alta,Media,4,Financial Director,Media,Married,17603,1,Y,No,24,Muy_Alta,Baja,80,1,14,3,14,6,11
29,Yes,Travel_Rarely,Financial,1,Universitaria,Contaduría,1,Baja,Media,1,Financial Analyst,Media,Single,2362,6,Y,No,13,Alta,Alta,80,0,11,2,9,0,7
38,No,Travel_Frequently,Financial,1,Universitaria,Ingeniería Administrativa,1,Muy_Alta,Alta,2,Financial Analyst,Alta,Married,4735,7,Y,No,15,Alta,Muy_Alta,80,2,19,4,13,2,9
39,No,Non-Travel,Financial,25,Universitaria,Ingeniería Administrativa,1,Alta,Alta,3,Coordinator,Alta,Married,10920,3,Y,No,21,Muy_Alta,Media,80,1,13,2,6,0,5
36,No,Travel_Rarely,Financial,14,Universitaria,Ingeniería Administrativa,1,Alta,Alta,2,Coordinator,Alta,Married,6586,0,Y,Yes,17,Alta,Baja,80,1,17,2,16,4,11
49,No,Travel_Rarely,Financial,5,Universitaria,Contaduría,1,Baja,Alta,2,Coordinator,Alta,Married,6651,2,Y,No,14,Alta,Media,80,1,20,0,3,1,2
38,No,Travel_Rarely,Financial,1,Universitaria,Contaduría,1,Muy_Alta,Alta,3,Financial Director,Alta,Married,13582,1,Y,No,13,Alta,Media,80,1,15,3,15,5,11
37,No,Travel_Rarely,Financial,10,Master,Ingeniería Administrativa,1,Alta,Muy_Alta,3,Financial Director,Muy_Alta,Married,13744,1,Y,Yes,25,Muy_Alta,Baja,80,1,16,2,16,6,8
36,No,Travel_Rarely,Financial,3,Universitaria,Contaduría,1,Alta,Alta,2,Financial Analyst,Alta,Single,4485,4,Y,No,12,Alta,Muy_Alta,80,0,10,2,8,7,7
37,No,Travel_Rarely,Financial,14,Universitaria,Ingeniería Administrativa,1,Muy_Alta,Alta,1,Treasurer,Alta,Divorced,3034,1,Y,No,12,Alta,Alta,80,1,18,2,18,12,17
30,No,Travel_Frequently,Financial,3,Universitaria,Finanzas,1,Alta,Alta,1,Financial Analyst,Alta,Divorced,2083,1,Y,No,20,Muy_Alta,Alta,80,1,1,2,1,0,0
36,Yes,Travel_Rarely,Financial,15,Universitaria,Other,1,Baja,Alta,2,Treasurer,Alta,Divorced,4834,7,Y,No,14,Alta,Media,80,1,9,3,1,0,0
30,No,Travel_Rarely,Financial,6,Universitaria,Contaduría,1,Baja,Media,2,Treasurer,Media,Married,4627,0,Y,No,12,Alta,Baja,80,1,10,6,9,6,7
43,No,Travel_Rarely,Financial,3,Universitaria,Ingeniería Administrativa,1,Alta,Baja,5,Financial Director,Baja,Married,19740,3,Y,No,14,Alta,Media,80,1,25,2,8,0,7
53,No,Travel_Rarely,Financial,2,Universitaria,Finanzas,1,Muy_Alta,Muy_Alta,4,Financial Director,Muy_Alta,Single,16598,4,Y,No,12,Alta,Media,80,0,35,2,9,8,8
56,No,Travel_Rarely,Financial,23,Universitaria,Ingeniería Administrativa,1,Muy_Alta,Alta,4,Accountant,Alta,Married,13402,4,Y,Yes,12,Alta,Baja,80,1,33,0,19,15,9
45,No,Travel_Rarely,Financial,29,Universitaria,Finanzas,1,Alta,Alta,1,Financial Analyst,Alta,Single,3452,5,Y,No,13,Alta,Media,80,0,9,2,6,0,3
33,No,Travel_Rarely,Financial,13,Universitaria,Ingeniería Administrativa,1,Media,Alta,1,Financial Analyst,Alta,Single,3452,3,Y,No,18,Alta,Baja,80,0,5,4,3,0,2
27,No,Travel_Rarely,Financial,8,Universitaria,Finanzas,1,Alta,Alta,1,Financial Analyst,Alta,Single,3445,1,Y,No,11,Alta,Alta,80,0,6,5,6,1,4
54,No,Travel_Rarely,Financial,7,Universitaria,Finanzas,1,Muy_Alta,Alta,2,Financial Analyst,Alta,Married,6854,4,Y,No,15,Alta,Media,80,1,14,2,7,1,7
32,No,Non-Travel,Financial,15,Universitaria,Finanzas,1,Alta,Alta,2,Coordinator,Alta,Divorced,6667,5,Y,No,18,Alta,Media,80,1,9,6,5,1,2
44,No,Non-Travel,Financial,17,Universitaria,Ingeniería Administrativa,1,Muy_Alta,Baja,1,Financial Analyst,Baja,Single,2290,2,Y,No,13,Alta,Muy_Alta,80,0,6,3,0,0,0
36,No,Travel_Frequently,Financial,3,Universitaria,Contaduría,1,Alta,Alta,1,Financial Analyst,Alta,Married,3692,1,Y,No,12,Alta,Alta,80,0,12,2,11,0,7
32,No,Travel_Rarely,Financial,29,Universitaria,Ingeniería Administrativa,1,Alta,Media,1,Treasurer,Media,Single,2837,1,Y,No,13,Alta,Alta,80,0,6,3,6,4,1
32,No,Travel_Rarely,Financial,1,Universitaria,Ingeniería Administrativa,1,Muy_Alta,Alta,1,Financial Analyst,Alta,Single,2956,1,Y,No,13,Alta,Muy_Alta,80,0,1,2,1,0,0
34,No,Travel_Frequently,Financial,3,Universitaria,Ingeniería Administrativa,1,Baja,Alta,2,Coordinator,Alta,Single,7756,0,Y,No,17,Alta,Alta,80,0,7,1,6,0,4
26,No,Travel_Rarely,Financial,2,Universitaria,Finanzas,1,Baja,Media,1,Financial Analyst,Media,Single,3904,0,Y,No,12,Alta,Muy_Alta,80,0,5,2,4,1,1
26,No,Travel_Frequently,Financial,1,Universitaria,Ingeniería Administrativa,1,Alta,Alta,2,Accountant,Alta,Divorced,6397,1,Y,No,20,Muy_Alta,Baja,80,1,6,6,6,1,4
29,No,Travel_Rarely,Financial,7,Universitaria,Ingeniería Administrativa,1,Alta,Alta,2,Coordinator,Alta,Divorced,6623,1,Y,Yes,11,Alta,Media,80,2,6,2,6,1,0
52,No,Travel_Rarely,Financial,4,Universitaria,Ingeniería Administrativa,1,Muy_Alta,Alta,4,CFO,Alta,Married,16555,2,Y,No,13,Alta,Muy_Alta,80,0,31,2,5,1,4
27,No,Non-Travel,Financial,8,Universitaria,Ingeniería Administrativa,1,Baja,Baja,1,Treasurer,Baja,Married,4621,1,Y,No,19,Alta,Muy_Alta,80,3,3,4,3,1,2
58,No,Travel_Frequently,Financial,15,Universitaria,Ingeniería Administrativa,1,Baja,Alta,4,Financial Director,Alta,Married,15787,2,Y,Yes,14,Alta,Media,80,0,23,3,2,2,2
42,No,Travel_Rarely,Financial,1,Universitaria,Ingeniería Administrativa,1,Media,Alta,1,Treasurer,Alta,Divorced,2576,3,Y,No,16,Alta,Media,80,1,8,5,5,1,2
40,No,Non-Travel,Financial,9,Universitaria,Other,1,Alta,Alta,2,Treasurer,Alta,Divorced,3975,3,Y,No,11,Alta,Alta,80,2,11,2,8,0,7
29,No,Travel_Rarely,Financial,3,Universitaria,Finanzas,1,Media,Media,3,Financial Director,Media,Married,11935,1,Y,No,18,Alta,Alta,80,0,10,2,10,0,7
50,No,Travel_Rarely,Financial,29,Universitaria,Ingeniería Administrativa,1,Media,Media,4,CFO,Media,Married,17046,0,Y,No,15,Alta,Media,80,1,28,2,27,15,7
24,Yes,Travel_Frequently,Financial,7,Universitaria,Ingeniería Administrativa,1,Baja,Alta,1,Treasurer,Alta,Married,2886,1,Y,Yes,16,Alta,Muy_Alta,80,1,6,4,6,1,2
31,No,Travel_Frequently,Financial,1,Universitaria,Ingeniería Administrativa,1,Alta,Alta,2,Accountant,Alta,Married,4148,1,Y,No,12,Alta,Alta,80,1,4,1,4,0,3
35,No,Travel_Rarely,Financial,16,Universitaria,Ingeniería Administrativa,1,Muy_Alta,Media,3,Coordinator,Media,Single,8606,1,Y,No,19,Alta,Muy_Alta,80,0,11,3,11,3,3
40,No,Travel_Rarely,Financial,2,Universitaria,Ingeniería Administrativa,1,Alta,Alta,1,Treasurer,Alta,Married,3377,4,Y,No,17,Alta,Muy_Alta,80,1,7,5,4,0,2
38,No,Travel_Rarely,Financial,9,Universitaria,Ingeniería Administrativa,1,Media,Alta,1,Financial Analyst,Alta,Divorced,4771,2,Y,No,19,Alta,Muy_Alta,80,2,10,0,5,0,3
56,No,Travel_Frequently,Financial,9,Universitaria,Finanzas,1,Baja,Alta,1,Financial Analyst,Alta,Married,2942,2,Y,No,19,Alta,Media,80,1,18,4,5,0,3
35,No,Travel_Rarely,Financial,16,Universitaria,Ingeniería Administrativa,1,Muy_Alta,Alta,3,Coordinator,Alta,Married,7632,4,Y,Yes,12,Alta,Alta,80,0,10,2,8,0,0
40,No,Travel_Rarely,Financial,1,Universitaria,Ingeniería Administrativa,1,Baja,Alta,4,CFO,Alta,Divorced,16823,2,Y,No,11,Alta,Baja,80,1,22,3,19,11,16
33,No,Travel_Rarely,Financial,8,Universitaria,Ingeniería Administrativa,1,Muy_Alta,Alta,2,Coordinator,Alta,Single,6388,2,Y,Yes,17,Alta,Baja,80,0,14,6,0,0,0
51,No,Travel_Rarely,Financial,9,Universitaria,Ingeniería Administrativa,1,Muy_Alta,Alta,1,Treasurer,Alta,Married,2075,3,Y,No,23,Muy_Alta,Media,80,2,10,4,4,0,3
44,Yes,Travel_Rarely,Financial,10,Universitaria,Ingeniería Administrativa,1,Alta,Alta,1,Financial Analyst,Alta,Single,2936,1,Y,Yes,11,Alta,Alta,80,0,6,4,6,0,2
29,No,Travel_Rarely,Financial,1,Universitaria,Ingeniería Administrativa,1,Muy_Alta,Media,4,Financial Director,Media,Divorced,16124,3,Y,No,14,Alta,Media,80,2,9,2,7,1,7
58,Yes,Travel_Rarely,Financial,2,Universitaria,Ingeniería Administrativa,1,Muy_Alta,Alta,5,Financial Director,Alta,Single,19246,7,Y,Yes,12,Alta,Muy_Alta,80,0,40,2,31,13,8
33,No,Travel_Rarely,Financial,8,Master,Ingeniería Administrativa,1,Muy_Alta,Muy_Alta,1,Financial Analyst,Muy_Alta,Married,3143,6,Y,No,19,Alta,Media,80,1,14,1,10,7,6
44,No,Travel_Rarely,Financial,20,Universitaria,Ingeniería Administrativa,1,Muy_Alta,Alta,1,Financial Analyst,Alta,Single,3420,1,Y,No,13,Alta,Alta,80,0,6,3,5,1,3
27,No,Non-Travel,Financial,9,Universitaria,Finanzas,1,Muy_Alta,Alta,1,Financial Analyst,Alta,Divorced,2024,6,Y,No,18,Alta,Muy_Alta,80,1,6,1,2,2,2
23,No,Travel_Rarely,Financial,12,Universitaria,Other,1,Muy_Alta,Alta,1,Treasurer,Alta,Single,2647,1,Y,No,13,Alta,Alta,80,0,5,6,5,1,4
39,No,Travel_Frequently,Financial,8,Universitaria,Ingeniería Administrativa,1,Alta,Alta,1,Treasurer,Alta,Married,3755,1,Y,No,11,Alta,Baja,80,1,8,3,8,0,7
39,No,Travel_Rarely,Financial,2,Universitaria,Contaduría,1,Muy_Alta,Media,2,Coordinator,Media,Single,4553,1,Y,No,11,Alta,Baja,80,0,20,4,20,11,10
55,No,Travel_Rarely,Financial,1,Universitaria,Finanzas,1,Muy_Alta,Alta,5,CFO,Alta,Single,19045,0,Y,Yes,14,Alta,Alta,80,0,37,2,36,4,13
42,No,Travel_Rarely,Financial,2,Universitaria,Finanzas,1,Alta,Media,1,Treasurer,Media,Married,4841,4,Y,No,14,Alta,Media,80,1,4,3,1,0,0
25,No,Travel_Rarely,Financial,2,Universitaria,Other,1,Muy_Alta,Alta,1,Treasurer,Alta,Divorced,3977,6,Y,Yes,19,Alta,Alta,80,1,7,2,2,0,2
48,No,Travel_Rarely,Financial,2,Master,Contaduría,1,Muy_Alta,Muy_Alta,1,Treasurer,Muy_Alta,Single,2559,5,Y,No,11,Alta,Alta,80,0,7,4,1,0,0
20,Yes,Travel_Rarely,Financial,10,Universitaria,Finanzas,1,Muy_Alta,Alta,1,Financial Analyst,Alta,Single,1009,1,Y,Yes,11,Alta,Muy_Alta,80,0,1,5,1,1,1
48,No,Non-Travel,Financial,1,Master,Finanzas,1,Baja,Muy_Alta,4,CFO,Muy_Alta,Single,16885,2,Y,No,22,Muy_Alta,Alta,80,0,27,3,5,2,1
45,No,Non-Travel,Financial,2,Universitaria,Finanzas,1,Baja,Media,4,CFO,Media,Married,16792,9,Y,No,23,Muy_Alta,Muy_Alta,80,1,22,1,20,11,8
35,No,Travel_Rarely,Financial,25,Universitaria,Other,1,Baja,Media,2,Treasurer,Media,Single,3681,4,Y,No,14,Alta,Muy_Alta,80,0,9,3,3,0,2
28,No,Travel_Rarely,Financial,19,Universitaria,Finanzas,1,Muy_Alta,Media,1,Treasurer,Media,Married,3196,1,Y,No,12,Alta,Alta,80,3,6,2,6,3,3
23,No,Travel_Rarely,Financial,20,Universitaria,Ingeniería Administrativa,1,Baja,Alta,2,Treasurer,Alta,Single,2272,0,Y,No,14,Alta,Media,80,0,5,2,4,1,2
34,No,Non-Travel,Financial,3,Universitaria,Ingeniería Administrativa,1,Alta,Media,1,Financial Analyst,Media,Married,2979,3,Y,No,17,Alta,Muy_Alta,80,3,6,2,0,0,0
35,No,Travel_Rarely,Financial,22,Universitaria,Ingeniería Administrativa,1,Muy_Alta,Baja,1,Treasurer,Baja,Single,4230,0,Y,No,15,Alta,Alta,80,0,6,2,5,4,3
34,No,Travel_Rarely,Financial,8,Universitaria,Ingeniería Administrativa,1,Media,Alta,2,Accountant,Alta,Divorced,5121,3,Y,No,14,Alta,Alta,80,1,7,3,0,0,0
22,No,Travel_Rarely,Financial,15,Universitaria,Finanzas,1,Media,Alta,1,Treasurer,Alta,Single,2871,1,Y,No,15,Alta,Alta,80,0,1,5,0,0,0
42,No,Travel_Rarely,Financial,8,Universitaria,Ingeniería Administrativa,1,Muy_Alta,Alta,1,Treasurer,Alta,Single,3968,4,Y,No,13,Alta,Muy_Alta,80,0,8,3,0,0,0
57,No,Travel_Rarely,Financial,1,Universitaria,Finanzas,1,Muy_Alta,Alta,2,Coordinator,Alta,Married,6755,2,Y,No,11,Alta,Alta,80,0,15,2,3,1,2
28,No,Travel_Rarely,Financial,3,Universitaria,Finanzas,1,Muy_Alta,Alta,3,Accountant,Alta,Divorced,7655,0,Y,No,17,Alta,Media,80,3,10,3,9,1,7
41,No,Travel_Rarely,Financial,6,Universitaria,Finanzas,1,Muy_Alta,Alta,1,Treasurer,Alta,Single,4721,2,Y,Yes,13,Alta,Alta,80,0,20,3,18,2,17
36,No,Travel_Rarely,Financial,2,Universitaria,Ingeniería Administrativa,1,Alta,Alta,2,Accountant,Alta,Single,5410,9,Y,Yes,11,Alta,Muy_Alta,80,0,18,2,16,5,12
56,No,Travel_Rarely,Financial,7,Universitaria,Ingeniería Administrativa,1,Muy_Alta,Baja,3,Accountant,Baja,Single,7260,4,Y,No,11,Alta,Baja,80,0,37,3,6,0,2
38,No,Travel_Rarely,Financial,2,Universitaria,Ingeniería Administrativa,1,Muy_Alta,Alta,2,Accountant,Alta,Married,6553,9,Y,No,14,Alta,Media,80,0,14,3,1,0,0
50,No,Travel_Rarely,Financial,4,Universitaria,Ingeniería Administrativa,1,Baja,Alta,5,Financial Director,Alta,Divorced,19144,3,Y,No,14,Alta,Baja,80,2,28,4,10,1,6
23,No,Travel_Rarely,Financial,9,Universitaria,Finanzas,1,Media,Alta,1,Treasurer,Alta,Married,2500,1,Y,No,14,Alta,Muy_Alta,80,1,5,2,4,0,2
32,No,Travel_Rarely,Financial,2,Universitaria,Finanzas,1,Alta,Alta,1,Treasurer,Alta,Married,2370,1,Y,No,13,Alta,Alta,80,1,8,4,8,0,7
49,No,Travel_Rarely,Financial,3,Universitaria,Finanzas,1,Alta,Media,2,Treasurer,Media,Married,4789,4,Y,No,25,Muy_Alta,Baja,80,1,10,3,3,1,2
49,No,Travel_Rarely,Financial,7,Universitaria,Other,1,Media,Media,3,Coordinator,Media,Single,10965,8,Y,No,24,Muy_Alta,Alta,80,0,26,2,5,0,0
29,Yes,Travel_Frequently,Financial,24,Universitaria,Ingeniería Administrativa,1,Muy_Alta,Media,1,Financial Analyst,Media,Single,2439,1,Y,Yes,24,Muy_Alta,Media,80,0,1,3,1,1,0
40,No,Travel_Rarely,Financial,2,Universitaria,Ingeniería Administrativa,1,Alta,Media,1,Financial Analyst,Media,Single,2809,2,Y,No,14,Alta,Muy_Alta,80,0,8,2,2,2,2
33,No,Travel_Rarely,Financial,15,Universitaria,Finanzas,1,Media,Alta,2,Coordinator,Alta,Married,4878,0,Y,Yes,13,Alta,Baja,80,1,10,6,9,8,1
55,No,Travel_Rarely,Financial,8,Universitaria,Finanzas,1,Muy_Alta,Alta,4,CFO,Alta,Divorced,14756,2,Y,Yes,14,Alta,Alta,80,3,21,2,5,0,2
30,No,Non-Travel,Financial,7,Universitaria,Contaduría,1,Alta,Alta,1,Financial Analyst,Alta,Divorced,1274,1,Y,No,13,Alta,Media,80,2,1,2,1,0,0
51,No,Travel_Rarely,Financial,2,Universitaria,Finanzas,1,Muy_Alta,Baja,2,Accountant,Baja,Divorced,5482,5,Y,No,18,Alta,Muy_Alta,80,1,13,3,4,1,2
40,No,Travel_Rarely,Financial,20,Universitaria,Contaduría,1,Baja,Alta,3,Coordinator,Alta,Married,10322,4,Y,No,20,Muy_Alta,Muy_Alta,80,1,14,6,11,11,1
49,No,Travel_Rarely,Financial,18,Universitaria,Ingeniería Administrativa,1,Muy_Alta,Media,5,Financial Director,Media,Divorced,19502,1,Y,Yes,17,Alta,Alta,80,1,31,5,31,0,9
32,Yes,Travel_Rarely,Financial,2,Universitaria,Ingeniería Administrativa,1,Muy_Alta,Alta,1,Treasurer,Alta,Single,1393,1,Y,No,12,Alta,Baja,80,0,1,2,1,0,0
