id,Unnamed: 0,edad,abandono,viajes,departamento,distancia_casa,educacion,carrera,empleados,satisfaccion_entorno,sexo,implicacion,nivel_laboral,puesto,satisfaccion_trabajo,estado_civil,salario_mes,num_empresas_anteriores,mayor_edad,horas_extra,incremento_salario_porc,evaluacion,satisfaccion_companeros,horas_quincena,nivel_acciones,anos_experiencia,num_formaciones_ult_ano,conciliacion,anos_compania,anos_en_puesto,anos_desde_ult_promocion,anos_con_manager_actual
1659,1180,36,No,Travel_Rarely,Financial,7,Universitaria,Ingeniería Administrativa,1,Baja,3.0,Alta,1,Treasurer,Alta,Single,2013,2,Y,No,11,Alta,Alta,80,0,15,4,,4,,1,3
269,196,35,No,Travel_Frequently,Financial,2,Universitaria,Finanzas,1,Media,3.0,Alta,2,Treasurer,Alta,Single,4425,5,Y,No,11,Alta,Muy_Alta,80,0,10,5,Alta,6,,1,2
579,432,34,No,Travel_Rarely,Financial,2,Universitaria,Ingeniería Administrativa,1,Muy_Alta,2.0,Media,1,Financial Analyst,Media,Divorced,2768,3,Y,No,12,Alta,Alta,80,1,14,3,,7,,5,7
141,106,50,No,Travel_Frequently,Financial,1,Universitaria,Ingeniería Administrativa,1,Baja,3.0,Alta,5,Financial Director,Alta,Married,18172,3,Y,Yes,19,Alta,Baja,80,0,28,1,,8,3.0,0,7
505,379,55,No,Travel_Rarely,Financial,2,Universitaria,Ingeniería Administrativa,1,Alta,3.0,Alta,4,CFO,Alta,Single,16659,2,Y,Yes,13,Alta,Alta,80,0,30,2,,5,,1,2
450,332,54,No,Travel_Frequently,Financial,20,Universitaria,Ingeniería Administrativa,1,Muy_Alta,3.0,Alta,2,Financial Analyst,Alta,Single,4869,3,Y,No,12,Alta,Muy_Alta,80,0,20,4,,4,,0,3
1244,889,27,No,Travel_Rarely,Financial,14,Universitaria,Ingeniería Administrativa,1,Baja,3.0,Alta,1,Financial Analyst,Alta,Married,2235,1,Y,Yes,14,Alta,Muy_Alta,80,2,9,3,,9,,6,8
340,248,37,No,Travel_Rarely,Financial,1,Universitaria,Finanzas,1,Alta,2.0,Media,1,Financial Analyst,Media,Married,3920,2,Y,No,14,Alta,Baja,80,1,17,2,,3,2.0,0,2
930,668,28,No,Travel_Rarely,Financial,9,Universitaria,Finanzas,1,Alta,3.0,Alta,1,Financial Analyst,Alta,Divorced,2377,5,Y,No,18,Alta,Media,80,1,6,2,Alta,2,,2,2
1118,806,52,No,Travel_Rarely,Financial,7,,Ingeniería Administrativa,1,Media,,,3,Coordinator,,Single,10445,7,Y,No,19,Alta,Muy_Alta,80,0,18,4,,8,,4,0
1666,1185,43,No,Travel_Rarely,Financial,15,Universitaria,Ingeniería Administrativa,1,Alta,2.0,Media,4,Financial Director,Media,Married,17603,1,Y,No,24,Muy_Alta,Baja,80,1,14,3,Media,14,2.0,6,11
1522,1077,29,Yes,Travel_Rarely,Financial,1,Universitaria,Contaduría,1,Baja,2.0,Media,1,Financial Analyst,Media,Single,2362,6,Y,No,13,Alta,Alta,80,0,11,2,,9,,0,7
1668,1187,38,No,Travel_Frequently,Financial,1,Universitaria,Ingeniería Administrativa,1,Muy_Alta,3.0,Alta,2,Financial Analyst,Alta,Married,4735,7,Y,No,15,Alta,Muy_Alta,80,2,19,4,,13,,2,9
1397,992,39,No,Non-Travel,Financial,25,Universitaria,Ingeniería Administrativa,1,Alta,3.0,Alta,3,Coordinator,Alta,Married,10920,3,Y,No,21,Muy_Alta,Media,80,1,13,2,,6,,0,5
924,664,36,No,Travel_Rarely,Financial,14,Universitaria,Ingeniería Administrativa,1,Alta,3.0,Alta,2,Coordinator,Alta,Married,6586,0,Y,Yes,17,Alta,Baja,80,1,17,2,,16,,4,11
1473,1044,49,No,Travel_Rarely,Financial,5,Universitaria,Contaduría,1,Baja,3.0,Alta,2,Coordinator,Alta,Married,6651,2,Y,No,14,Alta,Media,80,1,20,0,Alta,3,,1,2
950,681,38,No,Travel_Rarely,Financial,1,Universitaria,Contaduría,1,Muy_Alta,3.0,Alta,3,Financial Director,Alta,Married,13582,1,Y,No,13,Alta,Media,80,1,15,3,Alta,15,3.0,5,11
2017,1432,37,No,Travel_Rarely,Financial,10,Master,Ingeniería Administrativa,1,Alta,4.0,Muy_Alta,3,Financial Director,Muy_Alta,Married,13744,1,Y,Yes,25,Muy_Alta,Baja,80,1,16,2,Muy_Alta,16,4.0,6,8
397,291,36,No,Travel_Rarely,Financial,3,Universitaria,Contaduría,1,Alta,3.0,Alta,2,Financial Analyst,Alta,Single,4485,4,Y,No,12,Alta,Muy_Alta,80,0,10,2,,8,,7,7
515,386,37,No,Travel_Rarely,Financial,14,Universitaria,Ingeniería Administrativa,1,Muy_Alta,,Alta,1,Treasurer,,Divorced,3034,1,Y,No,12,Alta,Alta,80,1,18,2,,18,3.0,12,17
680,501,30,No,Travel_Frequently,Financial,3,Universitaria,Finanzas,1,Alta,,Alta,1,Financial Analyst,Alta,Divorced,2083,1,Y,No,20,Muy_Alta,Alta,80,1,1,2,Alta,1,,0,0
1052,761,36,Yes,Travel_Rarely,Financial,15,Universitaria,Other,1,Baja,3.0,Alta,2,Treasurer,Alta,Divorced,4834,7,Y,No,14,Alta,Media,80,1,9,3,Alta,1,,0,0
1311,941,30,No,Travel_Rarely,Financial,6,Universitaria,Contaduría,1,Baja,2.0,Media,2,Treasurer,Media,Married,4627,0,Y,No,12,Alta,Baja,80,1,10,6,Media,9,,6,7
1255,898,43,No,Travel_Rarely,Financial,3,Universitaria,Ingeniería Administrativa,1,Alta,1.0,Baja,5,Financial Director,Baja,Married,19740,3,Y,No,14,Alta,Media,80,1,25,2,,8,,0,7
1472,1043,53,No,Travel_Rarely,Financial,2,,Finanzas,1,Muy_Alta,,Muy_Alta,4,Financial Director,Muy_Alta,Single,16598,4,Y,No,12,Alta,Media,80,0,35,2,,9,,8,8
1373,976,56,No,Travel_Rarely,Financial,23,Universitaria,Ingeniería Administrativa,1,Muy_Alta,3.0,Alta,4,Accountant,Alta,Married,13402,4,Y,Yes,12,Alta,Baja,80,1,33,0,,19,,15,9
192,141,45,No,Travel_Rarely,Financial,29,Universitaria,Finanzas,1,Alta,3.0,Alta,1,Financial Analyst,Alta,Single,3452,5,Y,No,13,Alta,Media,80,0,9,2,,6,,0,3
995,712,33,No,Travel_Rarely,Financial,13,Universitaria,Ingeniería Administrativa,1,Media,,Alta,1,Financial Analyst,Alta,Single,3452,3,Y,No,18,Alta,Baja,80,0,5,4,,3,,0,2
1751,1248,27,No,Travel_Rarely,Financial,8,Universitaria,Finanzas,1,Alta,3.0,Alta,1,Financial Analyst,Alta,Single,3445,1,Y,No,11,Alta,Alta,80,0,6,5,,6,,1,4
1830,1305,54,No,Travel_Rarely,Financial,7,,Finanzas,1,Muy_Alta,3.0,Alta,2,Financial Analyst,Alta,Married,6854,4,Y,No,15,Alta,Media,80,1,14,2,,7,,1,7
1955,1388,32,No,Non-Travel,Financial,15,Universitaria,Finanzas,1,Alta,3.0,Alta,2,Coordinator,Alta,Divorced,6667,5,Y,No,18,Alta,Media,80,1,9,6,,5,3.0,1,2
1206,862,44,No,Non-Travel,Financial,17,Universitaria,Ingeniería Administrativa,1,Muy_Alta,1.0,Baja,1,Financial Analyst,Baja,Single,2290,2,Y,No,13,Alta,Muy_Alta,80,0,6,3,,0,1.0,0,0
1257,900,36,No,Travel_Frequently,Financial,3,Universitaria,Contaduría,1,Alta,3.0,Alta,1,Financial Analyst,Alta,Married,3692,1,Y,No,12,Alta,Alta,80,0,12,2,,11,,0,7
2010,1426,32,No,Travel_Rarely,Financial,29,Universitaria,Ingeniería Administrativa,1,Alta,2.0,Media,1,Treasurer,Media,Single,2837,1,Y,No,13,Alta,Alta,80,0,6,3,,6,,4,1
134,101,32,No,Travel_Rarely,Financial,1,Universitaria,Ingeniería Administrativa,1,Muy_Alta,3.0,Alta,1,Financial Analyst,Alta,Single,2956,1,Y,No,13,Alta,Muy_Alta,80,0,1,2,,1,,0,0
1103,794,34,No,Travel_Frequently,Financial,3,Universitaria,Ingeniería Administrativa,1,Baja,3.0,Alta,2,Coordinator,Alta,Single,7756,0,Y,No,17,Alta,Alta,80,0,7,1,,6,,0,4
1407,998,26,No,Travel_Rarely,Financial,2,Universitaria,Finanzas,1,Baja,2.0,Media,1,Financial Analyst,Media,Single,3904,0,Y,No,12,Alta,Muy_Alta,80,0,5,2,,4,,1,1
384,278,26,No,Travel_Frequently,Financial,1,Universitaria,Ingeniería Administrativa,1,Alta,3.0,Alta,2,Accountant,Alta,Divorced,6397,1,Y,No,20,Muy_Alta,Baja,80,1,6,6,Alta,6,3.0,1,4
1260,903,29,No,Travel_Rarely,Financial,7,Universitaria,Ingeniería Administrativa,1,Alta,3.0,Alta,2,Coordinator,Alta,Divorced,6623,1,Y,Yes,11,Alta,Media,80,2,6,2,,6,,1,0
546,408,52,No,Travel_Rarely,Financial,4,Universitaria,Ingeniería Administrativa,1,Muy_Alta,3.0,Alta,4,CFO,Alta,Married,16555,2,Y,No,13,Alta,Muy_Alta,80,0,31,2,,5,,1,4
1094,786,27,No,Non-Travel,Financial,8,Universitaria,Ingeniería Administrativa,1,Baja,1.0,Baja,1,Treasurer,Baja,Married,4621,1,Y,No,19,Alta,Muy_Alta,80,3,3,4,Baja,3,,1,2
1837,1310,58,No,Travel_Frequently,Financial,15,Universitaria,Ingeniería Administrativa,1,Baja,3.0,Alta,4,Financial Director,Alta,Married,15787,2,Y,Yes,14,Alta,Media,80,0,23,3,,2,3.0,2,2
517,388,42,No,Travel_Rarely,Financial,1,Universitaria,Ingeniería Administrativa,1,Media,3.0,Alta,1,Treasurer,Alta,Divorced,2576,3,Y,No,16,Alta,Media,80,1,8,5,Alta,5,,1,2
1449,1029,40,No,Non-Travel,Financial,9,,Other,1,Alta,3.0,Alta,2,Treasurer,Alta,Divorced,3975,3,Y,No,11,Alta,Alta,80,2,11,2,Alta,8,,0,7
564,420,29,No,Travel_Rarely,Financial,3,Universitaria,Finanzas,1,Media,2.0,Media,3,Financial Director,Media,Married,11935,1,Y,No,18,Alta,Alta,80,0,10,2,,10,,0,7
569,425,50,No,Travel_Rarely,Financial,29,Universitaria,Ingeniería Administrativa,1,Media,2.0,Media,4,CFO,Media,Married,17046,0,Y,No,15,Alta,Media,80,1,28,2,,27,,15,7
647,479,24,Yes,Travel_Frequently,Financial,7,Universitaria,Ingeniería Administrativa,1,Baja,3.0,Alta,1,Treasurer,Alta,Married,2886,1,Y,Yes,16,Alta,Muy_Alta,80,1,6,4,,6,,1,2
1011,726,31,No,Travel_Frequently,Financial,1,Universitaria,Ingeniería Administrativa,1,Alta,3.0,Alta,2,Accountant,Alta,Married,4148,1,Y,No,12,Alta,Alta,80,1,4,1,,4,3.0,0,3
1529,1081,35,No,Travel_Rarely,Financial,16,Universitaria,Ingeniería Administrativa,1,Muy_Alta,2.0,Media,3,Coordinator,Media,Single,8606,1,Y,No,19,Alta,Muy_Alta,80,0,11,3,,11,,3,3
1802,1286,40,No,Travel_Rarely,Financial,2,Universitaria,Ingeniería Administrativa,1,Alta,3.0,Alta,1,Treasurer,Alta,Married,3377,4,Y,No,17,Alta,Muy_Alta,80,1,7,5,,4,,0,2
1940,1376,38,No,Travel_Rarely,Financial,9,Universitaria,Ingeniería Administrativa,1,Media,3.0,Alta,1,Financial Analyst,Alta,Divorced,4771,2,Y,No,19,Alta,Muy_Alta,80,2,10,0,,5,3.0,0,3
1071,772,56,No,Travel_Frequently,Financial,9,Universitaria,Finanzas,1,Baja,3.0,Alta,1,Financial Analyst,Alta,Married,2942,2,Y,No,19,Alta,Media,80,1,18,4,,5,,0,3
586,438,35,No,Travel_Rarely,Financial,16,Universitaria,Ingeniería Administrativa,1,Muy_Alta,3.0,Alta,3,Coordinator,Alta,Married,7632,4,Y,Yes,12,Alta,Alta,80,0,10,2,Alta,8,,0,0
1892,1348,40,No,Travel_Rarely,Financial,1,Universitaria,Ingeniería Administrativa,1,Baja,3.0,Alta,4,CFO,Alta,Divorced,16823,2,Y,No,11,Alta,Baja,80,1,22,3,Alta,19,,11,16
1515,1074,33,No,Travel_Rarely,Financial,8,Universitaria,Ingeniería Administrativa,1,Muy_Alta,,Alta,2,Coordinator,Alta,Single,6388,2,Y,Yes,17,Alta,Baja,80,0,14,6,,0,,0,0
116,87,51,No,Travel_Rarely,Financial,9,Universitaria,Ingeniería Administrativa,1,Muy_Alta,3.0,Alta,1,Treasurer,Alta,Married,2075,3,Y,No,23,Muy_Alta,Media,80,2,10,4,Alta,4,,0,3
1200,857,44,Yes,Travel_Rarely,Financial,10,Universitaria,Ingeniería Administrativa,1,Alta,3.0,Alta,1,Financial Analyst,Alta,Single,2936,1,Y,Yes,11,Alta,Alta,80,0,6,4,,6,,0,2
1264,905,29,No,Travel_Rarely,Financial,1,,Ingeniería Administrativa,1,Muy_Alta,,Media,4,Financial Director,Media,Divorced,16124,3,Y,No,14,Alta,Media,80,2,9,2,,7,,1,7
825,595,58,Yes,Travel_Rarely,Financial,2,Universitaria,Ingeniería Administrativa,1,Muy_Alta,3.0,Alta,5,Financial Director,,Single,19246,7,Y,Yes,12,Alta,Muy_Alta,80,0,40,2,,31,,13,8
1798,1282,33,No,Travel_Rarely,Financial,8,Master,Ingeniería Administrativa,1,Muy_Alta,4.0,Muy_Alta,1,Financial Analyst,Muy_Alta,Married,3143,6,Y,No,19,Alta,Media,80,1,14,1,Muy_Alta,10,,7,6
1475,1046,44,No,Travel_Rarely,Financial,20,Universitaria,Ingeniería Administrativa,1,Muy_Alta,3.0,Alta,1,Financial Analyst,Alta,Single,3420,1,Y,No,13,Alta,Alta,80,0,6,3,,5,,1,3
218,161,27,No,Non-Travel,Financial,9,Universitaria,Finanzas,1,Muy_Alta,3.0,Alta,1,Financial Analyst,Alta,Divorced,2024,6,Y,No,18,Alta,Muy_Alta,80,1,6,1,,2,,2,2
1982,1408,23,No,Travel_Rarely,Financial,12,Universitaria,Other,1,Muy_Alta,3.0,Alta,1,Treasurer,Alta,Single,2647,1,Y,No,13,Alta,Alta,80,0,5,6,Alta,5,,1,4
602,449,39,No,Travel_Frequently,Financial,8,Universitaria,Ingeniería Administrativa,1,Alta,3.0,Alta,1,Treasurer,Alta,Married,3755,1,Y,No,11,Alta,Baja,80,1,8,3,Alta,8,,0,7
721,526,39,No,Travel_Rarely,Financial,2,Universitaria,Contaduría,1,Muy_Alta,2.0,Media,2,Coordinator,Media,Single,4553,1,Y,No,11,Alta,Baja,80,0,20,4,Media,20,2.0,11,10
374,270,55,No,Travel_Rarely,Financial,1,Universitaria,Finanzas,1,Muy_Alta,,Alta,5,CFO,Alta,Single,19045,0,Y,Yes,14,Alta,Alta,80,0,37,2,,36,3.0,4,13
1542,1088,42,No,Travel_Rarely,Financial,2,Universitaria,Finanzas,1,Alta,,Media,1,Treasurer,Media,Married,4841,4,Y,No,14,Alta,Media,80,1,4,3,,1,2.0,0,0
1992,1413,25,No,Travel_Rarely,Financial,2,Universitaria,Other,1,Muy_Alta,3.0,Alta,1,Treasurer,Alta,Divorced,3977,6,Y,Yes,19,Alta,Alta,80,1,7,2,,2,,0,2
1258,901,48,No,Travel_Rarely,Financial,2,Master,Contaduría,1,Muy_Alta,4.0,Muy_Alta,1,Treasurer,Muy_Alta,Single,2559,5,Y,No,11,Alta,Alta,80,0,7,4,,1,,0,0
701,513,20,Yes,Travel_Rarely,Financial,10,Universitaria,Finanzas,1,Muy_Alta,3.0,Alta,1,Financial Analyst,Alta,Single,1009,1,Y,Yes,11,Alta,Muy_Alta,80,0,1,5,Alta,1,,1,1
1116,804,48,No,Non-Travel,Financial,1,Master,Finanzas,1,Baja,4.0,Muy_Alta,4,CFO,,Single,16885,2,Y,No,22,Muy_Alta,Alta,80,0,27,3,,5,,2,1
264,194,45,No,Non-Travel,Financial,2,Universitaria,Finanzas,1,Baja,2.0,Media,4,CFO,Media,Married,16792,9,Y,No,23,Muy_Alta,Muy_Alta,80,1,22,1,,20,,11,8
652,483,35,No,Travel_Rarely,Financial,25,,Other,1,Baja,2.0,Media,2,Treasurer,Media,Single,3681,4,Y,No,14,Alta,Muy_Alta,80,0,9,3,,3,,0,2
1216,868,28,No,Travel_Rarely,Financial,19,Universitaria,Finanzas,1,Muy_Alta,2.0,Media,1,Treasurer,Media,Married,3196,1,Y,No,12,Alta,Alta,80,3,6,2,Media,6,,3,3
1533,1082,23,No,Travel_Rarely,Financial,20,Universitaria,Ingeniería Administrativa,1,Baja,3.0,Alta,2,Treasurer,Alta,Single,2272,0,Y,No,14,Alta,Media,80,0,5,2,,4,3.0,1,2
1115,803,34,No,Non-Travel,Financial,3,Universitaria,Ingeniería Administrativa,1,Alta,2.0,Media,1,Financial Analyst,Media,Married,2979,3,Y,No,17,Alta,Muy_Alta,80,3,6,2,,0,,0,0
577,430,35,No,Travel_Rarely,Financial,22,Universitaria,Ingeniería Administrativa,1,Muy_Alta,1.0,Baja,1,Treasurer,,Single,4230,0,Y,No,15,Alta,Alta,80,0,6,2,Baja,5,1.0,4,3
775,560,34,No,Travel_Rarely,Financial,8,Universitaria,Ingeniería Administrativa,1,Media,3.0,Alta,2,Accountant,Alta,Divorced,5121,3,Y,No,14,Alta,Alta,80,1,7,3,,0,3.0,0,0
144,109,22,No,Travel_Rarely,Financial,15,Universitaria,Finanzas,1,Media,3.0,Alta,1,Treasurer,Alta,Single,2871,1,Y,No,15,Alta,Alta,80,0,1,5,Alta,0,,0,0
1860,1325,42,No,Travel_Rarely,Financial,8,Universitaria,Ingeniería Administrativa,1,Muy_Alta,3.0,Alta,1,Treasurer,Alta,Single,3968,4,Y,No,13,Alta,Muy_Alta,80,0,8,3,,0,,0,0
482,360,57,No,Travel_Rarely,Financial,1,Universitaria,Finanzas,1,Muy_Alta,3.0,Alta,2,Coordinator,Alta,Married,6755,2,Y,No,11,Alta,Alta,80,0,15,2,,3,,1,2
1121,809,28,No,Travel_Rarely,Financial,3,Universitaria,Finanzas,1,Muy_Alta,,Alta,3,Accountant,Alta,Divorced,7655,0,Y,No,17,Alta,Media,80,3,10,3,,9,,1,7
957,686,41,No,Travel_Rarely,Financial,6,Universitaria,Finanzas,1,Muy_Alta,3.0,Alta,1,Treasurer,Alta,Single,4721,2,Y,Yes,13,Alta,Alta,80,0,20,3,Alta,18,,2,17
1294,927,36,No,Travel_Rarely,Financial,2,,Ingeniería Administrativa,1,Alta,3.0,Alta,2,Accountant,Alta,Single,5410,9,Y,Yes,11,Alta,Muy_Alta,80,0,18,2,Alta,16,,5,12
112,85,56,No,Travel_Rarely,Financial,7,Universitaria,Ingeniería Administrativa,1,Muy_Alta,1.0,Baja,3,Accountant,Baja,Single,7260,4,Y,No,11,Alta,Baja,80,0,37,3,Baja,6,,0,2
